empower,lmx,worksat,climate,cohesion
40,13,3,24,3
26,13,5,24,3
38,12,5,24,3
28,10,6,24,3
22,5,2,24,3
29,12,3,27,5.5
30,13,6,27,5.5
30,9,3,27,5.5
30,13,5,27,5.5
38,14,5,27,5.5
31,8,3,27,5.5
28,9,3,15,4
26,4,2,15,4
30,6,4,15,4
25,5,3,15,4
26,6,3,15,4
28,10,3,15,4
30,7,5,14,5
19,6,2,14,5
34,14,4,14,5
25,8,3,14,5
18,6,2,14,5
30,11,4,14,5
33,14,5,24,5
25,10,5,24,5
38,13,4,24,5
30,11,4,24,5
32,11,4,24,5
36,12,6,24,5
23,10,4,19,5
23,9,4,19,5
28,13,4,19,5
29,11,5,19,5
22,2,3,19,5
24,13,3,19,5
28,9,4,23,5.5
25,11,6,23,5.5
32,10,4,23,5.5
27,11,5,23,5.5
34,9,4,23,5.5
34,13,7,23,5.5
26,14,4,23,4
21,17,6,23,4
27,10,4,23,4
28,12,3,23,4
32,10,5,23,4
31,11,4,23,4
25,7,4,25,6
30,14,7,25,6
28,10,5,25,6
31,8,4,25,6
33,4,3,25,6
29,9,5,25,6
39,16,4,24,6.5
26,7,4,24,6.5
34,17,6,24,6.5
30,8,3,24,6.5
32,14,6,24,6.5
26,11,2,24,6.5
25,11,6,21,7
25,7,6,21,7
25,13,5,21,7
35,13,4,21,7
29,15,5,21,7
31,15,6,21,7
31,8,3,16,5
24,7,1,16,5
26,16,2,16,5
27,6,1,16,5
34,7,4,16,5
32,7,4,16,5
30,7,3,16,5
25,7,3,16,5
29,8,4,16,5
27,9,3,16,5
28,12,6,16,5
28,7,4,16,5
24,9,2,16,3
23,9,3,16,3
24,6,3,16,3
21,5,2,16,3
21,8,2,16,3
27,9,3,16,3
29,7,4,22,7
28,8,3,22,7
33,10,5,22,7
24,7,2,22,7
35,9,5,22,7
28,9,3,22,7
25,1,3,27,5.5
34,12,5,27,5.5
30,7,3,27,5.5
25,5,4,27,5.5
36,8,2,27,5.5
31,7,3,27,5.5
20,7,2,18,5.5
26,4,1,18,5.5
28,10,4,18,5.5
28,10,4,18,5.5
31,7,5,18,5.5
24,9,3,18,5.5
30,13,5,17,4.5
28,10,3,17,4.5
28,9,3,17,4.5
26,12,3,17,4.5
23,5,3,17,4.5
27,9,4,17,4.5
31,11,6,21,5
28,5,4,21,5
17,5,3,21,5
28,10,4,21,5
21,9,4,21,5
32,5,3,21,5
