"wages"	"education"	"age"	"sex"	"language"
"56"	12.38	12.5	32	"Female"	"English"
"57"	10.52	10	28	"Male"	"English"
"58"	10	15.3	21	"Female"	"French"
"59"	17.5	12	31	"Male"	"English"
"60"	7.18	11.6	20	"Male"	"English"
"61"	15	6	51	"Male"	"Other"
"62"	27	15	48	"Female"	"English"
"63"	32.91	14	35	"Male"	"English"
"64"	21	11	39	"Female"	"English"
"65"	8.37	12.5	65	"Female"	"English"
"66"	16.97	13.5	30	"Female"	"English"
"67"	8	15.5	23	"Female"	"English"
"68"	23.47	13	36	"Male"	"English"
"69"	49.92	20	41	"Female"	"English"
"70"	8.5	12	27	"Female"	"English"
"71"	8.33	11	22	"Male"	"English"
"72"	15	13.5	39	"Female"	"English"
"73"	11	15	28	"Female"	"English"
"74"	18.5	8	58	"Male"	"English"
"75"	7.18	11	17	"Male"	"English"
"76"	26.4	11	40	"Male"	"English"
"77"	14.36	10	53	"Female"	"English"
"78"	24	17.1	36	"Male"	"English"
"79"	12.5	11.5	23	"Male"	"English"
"80"	14.73	17.8	41	"Female"	"English"
"81"	10	10.6	45	"Female"	"English"
"82"	13.68	12	28	"Male"	"English"
"83"	6.75	10	21	"Male"	"English"
"84"	21.55	12	34	"Male"	"English"
"85"	15.65	14	49	"Male"	"English"
"86"	26.88	20	36	"Male"	"English"
"87"	6.35	12.6	18	"Female"	"English"
"88"	24.96	18	44	"Female"	"English"
"89"	9.33	14.5	41	"Female"	"Other"
"90"	10	12	33	"Female"	"French"
"91"	6.7	6	57	"Female"	"French"
"92"	27.12	15	25	"Female"	"English"
"93"	8.06	13	18	"Female"	"English"
"94"	14	12	36	"Male"	"English"
"95"	6.6	10	18	"Male"	"English"
"96"	28	18	69	"Male"	"French"
"97"	24.4	18	45	"Male"	"English"
"98"	12.48	15.5	26	"Female"	"Other"
"99"	21.94	20	56	"Female"	"Other"
"100"	14.25	11.5	31	"Male"	"Other"
"101"	24	12.6	42	"Male"	"English"
"102"	10	9	50	"Female"	"English"
"103"	13.67	12	30	"Male"	"English"
"104"	21.39	16	38	"Male"	"English"
"105"	13.82	10	53	"Female"	"Other"
"106"	9.58	18	38	"Male"	"English"
"107"	19.4	17	37	"Male"	"English"
"108"	18.64	10.5	43	"Male"	"English"
"109"	13	11	22	"Male"	"English"
"110"	31.2	18	48	"Male"	"English"
"111"	20.16	20	56	"Male"	"English"
"112"	19.2	14.5	44	"Female"	"English"
"113"	16.54	19	25	"Male"	"English"
"114"	19	10.5	40	"Male"	"English"
"115"	22.08	20	38	"Male"	"English"
"116"	8.89	16	21	"Male"	"English"
"117"	19.75	14	48	"Female"	"English"
"118"	23.62	18	58	"Female"	"English"
"119"	3.59	13.6	21	"Female"	"English"
"120"	34.67	17	35	"Female"	"English"
"121"	8.37	17	23	"Female"	"English"
"122"	23.77	9.5	65	"Male"	"English"
"123"	33.6	13	60	"Male"	"English"
"124"	10.51	13.3	42	"Female"	"English"
"125"	18	16	32	"Female"	"English"
"126"	32.16	13	48	"Male"	"English"
"127"	16	13	37	"Female"	"Other"
"128"	9	13.5	28	"Female"	"English"
"129"	8.9	9	32	"Male"	"French"
"130"	7.11	14.6	21	"Female"	"English"
"131"	8.5	13.5	57	"Female"	"English"
"132"	19.68	10	40	"Male"	"English"
"133"	12.13	12.5	31	"Male"	"English"
"134"	12.54	7	31	"Male"	"Other"
"135"	18.53	14	30	"Male"	"English"
"136"	6.59	13	19	"Female"	"English"
"137"	13.33	12	28	"Male"	"English"
"138"	11.25	10.5	56	"Female"	"Other"
"139"	16	13	43	"Female"	"English"
"140"	15.92	12.5	47	"Male"	"English"
"141"	7.44	9	34	"Male"	"English"
"142"	6.8	13.8	21	"Female"	"English"
"143"	20.16	20	39	"Male"	"English"
"144"	20	14	36	"Male"	"Other"
"145"	20.64	13	32	"Male"	"English"
"146"	7.79	13.1	18	"Female"	"English"
"147"	9.9	13	50	"Female"	"English"
"148"	7	12	18	"Male"	"English"
"149"	9.23	12	36	"Female"	"English"
"150"	8	16.1	20	"Female"	"English"
"151"	14.8	11	36	"Male"	"English"
"152"	13.1	9.5	55	"Female"	"English"
"153"	38.4	15.2	39	"Male"	"English"
"154"	19	8	53	"Male"	"English"
"155"	7	14	20	"Female"	"English"
"156"	6.85	11	18	"Male"	"English"
"157"	19.26	8	25	"Male"	"English"
"158"	11.67	14.5	27	"Female"	"Other"
"159"	9.01	13	46	"Male"	"English"
"160"	10.6	12	44	"Female"	"English"
"161"	14.13	12.9	45	"Female"	"English"
"162"	8.57	13.8	31	"Female"	"French"
"163"	16.58	12	41	"Male"	"English"
"164"	8	10.5	47	"Female"	"French"
"165"	26.62	16.5	45	"Male"	"English"
"166"	16.3	12	39	"Male"	"English"
"167"	6.75	12	33	"Female"	"English"
"168"	4.98	15	21	"Female"	"English"
"169"	23.56	13	35	"Female"	"English"
"170"	7.35	18	26	"Female"	"English"
"171"	10	16	38	"Female"	"English"
"172"	10	17	34	"Female"	"English"
"173"	12.8	17	55	"Female"	"Other"
"174"	15.59	12.5	39	"Female"	"English"
"175"	7.25	12	20	"Female"	"English"
"176"	14.4	12	60	"Male"	"English"
"177"	16	12	34	"Male"	"English"
"178"	13.05	9	64	"Female"	"French"
"179"	6.06	12.5	20	"Female"	"English"
"180"	15	15.8	30	"Male"	"English"
"181"	10.08	11	28	"Female"	"French"
"182"	9.06	12	18	"Female"	"English"
"183"	12.69	10	34	"Female"	"Other"
"184"	24.48	12	46	"Male"	"English"
"185"	7.24	19	28	"Female"	"English"
"186"	15.5	14	24	"Female"	"English"
"187"	13.45	10	44	"Female"	"French"
"188"	22.45	13	28	"Male"	"English"
"189"	6.7	14	21	"Male"	"English"
"190"	9.85	12	35	"Male"	"English"
"191"	13.71	12	48	"Female"	"English"
"192"	13.96	13.5	27	"Male"	"English"
"193"	18.32	17.4	44	"Female"	"English"
"194"	28.9	17	55	"Male"	"English"
"195"	16.24	20	48	"Male"	"Other"
"196"	10.45	8	31	"Male"	"English"
"197"	9.62	18.5	38	"Male"	"English"
"198"	7	14	19	"Male"	"English"
"199"	30	10	51	"Male"	"English"
"200"	36.11	17	35	"Male"	"English"
"201"	21.6	12	57	"Male"	"English"
"202"	10	15	36	"Male"	"English"
"203"	6.65	11	18	"Female"	"English"
"204"	8.33	13.3	22	"Male"	"English"
"205"	9.2	13.8	26	"Female"	"English"
"206"	11.17	11	26	"Male"	"English"
"207"	6.75	12	18	"Male"	"English"
"208"	15.65	10	41	"Male"	"English"
"209"	23.04	11	39	"Female"	"English"
"210"	6.75	15	21	"Female"	"Other"
"211"	26.4	15	48	"Female"	"English"
"212"	6.35	13	19	"Female"	"French"
"213"	18	20	42	"Male"	"Other"
"214"	3	12	17	"Male"	"English"
"215"	10.85	15	32	"Female"	"English"
"216"	6.41	15.5	39	"Female"	"French"
"217"	12.12	11.6	30	"Male"	"English"
"218"	10	13	34	"Female"	"English"
"219"	6.25	12	29	"Female"	"Other"
"220"	18.68	14	36	"Male"	"French"
"221"	18.92	17	49	"Male"	"English"
"222"	14.45	12.5	27	"Male"	"English"
"223"	6.7	10	61	"Female"	"English"
"224"	14.38	12	34	"Male"	"English"
"225"	6.75	15	45	"Female"	"English"
"226"	11.6	12.5	32	"Female"	"English"
"227"	7.01	4	45	"Female"	"Other"
"228"	19.2	18.5	27	"Male"	"English"
"229"	10.26	9	32	"Female"	"English"
"230"	6.7	10	16	"Female"	"English"
"231"	8	8	37	"Female"	"English"
"232"	28.8	8	54	"Male"	"English"
"233"	12	17	23	"Male"	"English"
"234"	8.26	13.5	25	"Female"	"English"
"235"	6.74	11.6	18	"Female"	"English"
"236"	18.77	13	32	"Male"	"English"
"237"	12.8	10.4	27	"Female"	"English"
"238"	7	12.6	23	"Female"	"English"
"239"	19	13	28	"Male"	"French"
"240"	20.64	18	50	"Male"	"English"
"241"	6	12	66	"Female"	"English"
"242"	17.5	12	43	"Female"	"French"
"243"	6.5	16.3	20	"Female"	"English"
"244"	7.75	17.3	35	"Female"	"English"
"245"	7	13	20	"Male"	"English"
"246"	6.7	10.5	23	"Male"	"English"
"247"	7.1	9.6	19	"Male"	"English"
"248"	9	15.5	23	"Male"	"English"
"249"	18.87	14	46	"Female"	"Other"
"250"	17.67	12	43	"Male"	"English"
"251"	11	11	50	"Male"	"English"
"252"	25.44	16.1	46	"Female"	"English"
"253"	10.29	13.6	18	"Female"	"English"
"254"	6.5	12	19	"Female"	"Other"
"255"	28.8	14.5	51	"Male"	"Other"
"256"	26.88	20	56	"Male"	"English"
"257"	24.69	18.5	31	"Female"	"English"
"258"	16.3	12	27	"Male"	"English"
"259"	15.87	12	29	"Female"	"English"
"260"	22.08	11	54	"Male"	"English"
"261"	14.85	12	39	"Female"	"English"
"262"	14	8	27	"Male"	"English"
"263"	11.07	15.3	24	"Female"	"English"
"264"	7.5	14.6	23	"Male"	"English"
"265"	26.96	13.5	47	"Male"	"English"
"266"	16.8	16	36	"Female"	"English"
"267"	9.41	13.8	21	"Female"	"English"
"268"	18.95	17	27	"Male"	"English"
"269"	13	15	26	"Female"	"English"
"270"	32.64	9	53	"Male"	"English"
"271"	15	13	32	"Male"	"English"
"272"	7.35	10	52	"Female"	"English"
"273"	8.98	14	31	"Female"	"Other"
"274"	27.84	18	50	"Female"	"English"
"275"	13	12	33	"Male"	"English"
"276"	8.5	9	62	"Female"	"English"
"277"	5.6	12	29	"Female"	"English"
"278"	22.56	12.5	31	"Male"	"English"
"279"	32.47	17	47	"Male"	"English"
"280"	15.36	13.5	34	"Male"	"English"
"281"	15.86	10	31	"Female"	"English"
"282"	17.28	12	61	"Male"	"English"
"283"	20.5	17	56	"Female"	"English"
"284"	22.5	20	42	"Male"	"English"
"285"	12.66	12.5	50	"Male"	"English"
"286"	7	13.5	32	"Female"	"English"
"287"	5.54	18	23	"Male"	"English"
"288"	4.26	12	18	"Male"	"English"
"289"	12.8	14	42	"Female"	"English"
"290"	13.55	17	24	"Female"	"English"
"291"	10.45	19.3	45	"Female"	"Other"
"292"	9.74	16.3	24	"Female"	"English"
"293"	31.49	16	45	"Male"	"English"
"294"	12	13	61	"Female"	"English"
"295"	24.48	18	53	"Male"	"English"
"296"	14.97	16.6	27	"Male"	"English"
"297"	6.72	12	59	"Female"	"English"
"298"	8	10	30	"Female"	"French"
"299"	19.2	19.5	30	"Male"	"English"
"300"	16.8	15	40	"Male"	"English"
"301"	15.36	16.2	39	"Male"	"English"
"302"	20.68	12.5	38	"Female"	"English"
"303"	18.64	14	45	"Male"	"English"
"304"	6.76	10	16	"Female"	"English"
"305"	17.67	16	44	"Female"	"English"
"306"	6	17	32	"Female"	"Other"
"307"	16	16	26	"Female"	"English"
"308"	7.52	15	31	"Female"	"English"
"309"	11.49	12	50	"Female"	"Other"
"310"	10	9	25	"Male"	"Other"
"311"	18.24	10	34	"Female"	"English"
"312"	23.42	13	20	"Female"	"English"
"313"	12.84	12.5	26	"Female"	"English"
"314"	19.2	13	39	"Female"	"English"
"315"	16.73	12	40	"Female"	"English"
"316"	29.98	17	44	"Female"	"English"
"317"	11.52	10.5	47	"Male"	"English"
"318"	26.4	15	40	"Female"	"English"
"319"	14.06	12.3	19	"Female"	"English"
"320"	7	12	19	"Female"	"English"
"321"	10.25	9	60	"Female"	"English"
"322"	6.7	12.1	19	"Female"	"English"
"323"	11	11	52	"Female"	"English"
"324"	28.53	17	36	"Female"	"English"
"325"	11	16	28	"Male"	"French"
"326"	19	13	36	"Female"	"English"
"327"	18.02	17.3	27	"Female"	"English"
"328"	37.89	17	46	"Male"	"English"
"329"	8	16.5	24	"Male"	"English"
"330"	8	13	37	"Female"	"English"
"331"	20.88	19	35	"Male"	"Other"
"332"	15	14	31	"Female"	"English"
"333"	7	12	18	"Male"	"English"
"334"	19.61	13.9	31	"Female"	"English"
"335"	7	12	48	"Female"	"English"
"336"	6.7	12	61	"Female"	"English"
"337"	7.7	14.6	21	"Male"	"English"
"338"	12	20	29	"Male"	"English"
"339"	12.51	13	26	"Female"	"English"
"340"	7.73	9.8	17	"Female"	"English"
"341"	32.64	14	52	"Male"	"English"
"342"	19.15	13	50	"Male"	"English"
"343"	9.38	14.4	23	"Male"	"Other"
"344"	12.29	9	36	"Female"	"English"
"345"	8.34	17	24	"Female"	"English"
"346"	19	14	53	"Female"	"English"
"347"	33.6	16	36	"Male"	"English"
"348"	17.44	5	58	"Male"	"Other"
"349"	15.25	12	34	"Male"	"English"
"350"	38.4	12	39	"Male"	"English"
"351"	17	13	35	"Female"	"English"
"352"	6.35	15.5	22	"Male"	"English"
"353"	6.85	9	35	"Female"	"English"
"354"	13.53	14	33	"Male"	"English"
"355"	20.16	16	51	"Male"	"French"
"356"	12	13	25	"Female"	"English"
"357"	41.38	11.1	44	"Male"	"Other"
"358"	9.99	15.5	23	"Male"	"English"
"359"	9.89	11	66	"Female"	"English"
"360"	21.57	9	41	"Male"	"Other"
"361"	24	10.5	51	"Female"	"Other"
"362"	18.24	20	36	"Male"	"English"
"363"	6.7	16.5	38	"Female"	"English"
"364"	20.84	13.8	39	"Female"	"Other"
"365"	18.65	13	55	"Female"	"English"
"366"	30.49	16	52	"Male"	"Other"
"367"	6.75	11	61	"Female"	"Other"
"368"	14.4	13.2	42	"Male"	"English"
"369"	19.2	17	56	"Male"	"Other"
"370"	7.75	13.6	20	"Male"	"English"
"371"	9.33	9	39	"Male"	"English"
"372"	7	12	26	"Male"	"English"
"373"	7	12	18	"Male"	"English"
"374"	11.85	11.3	23	"Male"	"English"
"375"	15.61	17.3	27	"Male"	"English"
"376"	30.72	20	40	"Male"	"French"
"377"	12.55	10	43	"Male"	"English"
"378"	20.5	18.3	34	"Female"	"Other"
"379"	7	12	31	"Female"	"English"
"380"	7.58	12	47	"Female"	"English"
"381"	6.63	12	19	"Male"	"English"
"382"	11.2	16	39	"Male"	"English"
"383"	24.32	20	35	"Male"	"English"
"384"	26.36	17.3	50	"Male"	"English"
"385"	11.65	13.3	22	"Male"	"English"
"386"	12	11	53	"Female"	"French"
"387"	6	15.5	20	"Female"	"English"
"388"	22.86	10	35	"Male"	"English"
"389"	6.66	15.5	31	"Female"	"English"
"390"	24.69	13	54	"Male"	"English"
"391"	18.46	19	50	"Male"	"English"
"392"	7.51	15.3	30	"Female"	"French"
"393"	3.23	12	30	"Female"	"English"
"394"	10.47	11	29	"Male"	"French"
"395"	11	11	45	"Female"	"English"
"396"	17	9	52	"Male"	"English"
"397"	14.84	10	49	"Male"	"English"
"398"	15.77	12	27	"Male"	"English"
"399"	7.2	13.7	20	"Male"	"English"
"400"	15.05	15.6	33	"Female"	"English"
"401"	14.35	12	37	"Male"	"English"
"402"	6.12	9	16	"Female"	"French"
"403"	23.04	17	39	"Male"	"English"
"404"	15.65	16	41	"Female"	"English"
"405"	47.88	19	49	"Male"	"French"
"406"	11	3	60	"Female"	"Other"
"407"	16.05	10.5	26	"Male"	"English"
"408"	23.04	17	49	"Female"	"English"
"409"	17.52	12.5	40	"Male"	"English"
"410"	26.88	12.5	34	"Male"	"English"
"411"	20.24	14.5	38	"Male"	"English"
"412"	8.5	4	49	"Female"	"Other"
"413"	5.8	16.3	21	"Male"	"English"
"414"	15.45	16	55	"Female"	"English"
"415"	12	16.5	23	"Female"	"French"
"416"	12.84	11	17	"Female"	"English"
"417"	12.35	15.4	32	"Female"	"French"
"418"	27.79	18.1	35	"Female"	"English"
"419"	7.25	14.5	25	"Female"	"English"
"420"	17.72	13.5	35	"Female"	"English"
"421"	6.85	16.8	25	"Female"	"English"
"422"	9.65	14	40	"Female"	"English"
"423"	6.6	16.5	22	"Female"	"Other"
"424"	28.16	15	34	"Female"	"English"
"425"	25.15	16	42	"Male"	"French"
"426"	11.52	4.8	23	"Female"	"English"
"427"	10.51	12.5	46	"Female"	"English"
"428"	8.5	12	18	"Male"	"French"
"429"	10.51	13	27	"Female"	"French"
"430"	34.56	19.2	51	"Female"	"English"
"431"	5.48	10.8	16	"Male"	"English"
"432"	15.52	16	44	"Female"	"English"
"433"	16.32	10	58	"Female"	"English"
"434"	20.85	12	40	"Female"	"English"
"435"	32.64	16	39	"Male"	"Other"
"436"	19.2	12	37	"Female"	"English"
"437"	7.61	14.5	30	"Female"	"English"
"438"	10.56	16	24	"Male"	"English"
"439"	7.5	12	33	"Male"	"English"
"440"	26.39	18	33	"Female"	"English"
"441"	14.63	14	23	"Female"	"Other"
"442"	7.75	9	51	"Female"	"English"
"443"	14.38	16	27	"Female"	"English"
"444"	14.7	12.5	34	"Male"	"English"
"445"	21.94	17	30	"Female"	"English"
"446"	16.5	12	51	"Male"	"Other"
"447"	9.3	13.5	44	"Female"	"English"
"448"	15.48	16	37	"Male"	"English"
"449"	22.07	19.5	31	"Female"	"English"
"450"	16.46	10.5	44	"Female"	"English"
"451"	15	12	51	"Male"	"English"
"452"	6.79	12	35	"Female"	"English"
"453"	4.72	11	18	"Male"	"English"
"454"	10	8	61	"Male"	"Other"
"455"	6.8	13.5	48	"Female"	"English"
"456"	28.8	14	53	"Male"	"English"
"457"	15.36	15	52	"Female"	"English"
"458"	28.8	13	48	"Male"	"English"
"459"	8	15	59	"Female"	"English"
"460"	7.97	10	26	"Female"	"English"
"461"	10.78	12.5	40	"Female"	"English"
"462"	14.98	16	53	"Male"	"English"
"463"	10.22	17.7	61	"Female"	"English"
"464"	7.63	11	17	"Female"	"English"
"465"	23	17	27	"Male"	"English"
"466"	22.13	14	55	"Male"	"English"
"467"	13.5	17	30	"Male"	"English"
"468"	15.36	12	39	"Female"	"English"
"469"	14.5	14.3	46	"Female"	"English"
"470"	9.6	11	41	"Male"	"English"
"471"	30	16	37	"Male"	"English"
"472"	38.4	19	45	"Female"	"English"
"473"	17.5	12	33	"Male"	"English"
"474"	6.87	13	20	"Female"	"English"
"475"	8.5	13	50	"Female"	"English"
"476"	6.34	3	16	"Female"	"English"
"477"	26.38	8	60	"Male"	"Other"
"478"	14.94	8.3	48	"Female"	"English"
"479"	6.5	11.5	57	"Female"	"English"
"480"	11.5	16.7	29	"Male"	"English"
"481"	7.84	12.4	19	"Female"	"English"
"482"	20.87	13	42	"Male"	"English"
"483"	23.04	20	36	"Female"	"English"
"484"	25.12	12	44	"Male"	"English"
"485"	26.75	12	56	"Male"	"English"
"486"	6.7	11	17	"Female"	"English"
"487"	13.54	12	56	"Female"	"English"
"488"	28.54	17	26	"Male"	"English"
"489"	7	12	18	"Female"	"English"
"490"	12.36	14	26	"Female"	"English"
"491"	7.1	12	28	"Female"	"English"
"492"	7.6	13	24	"Male"	"English"
"493"	8.12	0	53	"Female"	"Other"
"494"	16.8	14.5	37	"Male"	"English"
"495"	13.75	10	48	"Male"	"Other"
"496"	27	17	32	"Female"	"English"
"497"	12.16	12.5	32	"Female"	"English"
"498"	24	15	51	"Male"	"Other"
"499"	5.75	14.3	36	"Female"	"English"
"500"	15.12	15	28	"Female"	"English"
